# Index: draw
# Unit: none

Draw,ge_empirical_distribution_lowpass
1289,0.97670376
1290,0.82491827
1291,0.60710186
1292,0.63380951
1293,0.76351804
1294,0.38644552
1295,0.47246963
1296,0.48409891
1297,-0.031473432
1298,0.33354354
1299,0.13948399
1300,0.30706444
1301,0.73291004
1302,0.52438718
1303,0.79863411
1304,0.82748681
1305,0.70412475
1306,0.7590766
1307,0.84191388
1308,0.5885576
1309,0.57339841
1310,0.91248047
1311,0.65623814
1312,0.74857485
1313,0.83986646
1314,0.60665739
1315,0.61676908
1316,0.6653142
1317,0.77044845
1318,0.67854208
1319,0.73257405
1320,0.26978633
1321,0.77582568
1322,0.61507177
1323,0.75665164
1324,-1.3115444
1325,0.44990504
1326,0.93168223
1327,0.62822938
1328,0.85087174
1329,0.81138068
1330,0.66522104
1331,0.021452773
1332,0.3027741
1333,0.41136894
1334,0.78175753
1335,0.36703309
1336,0.63833737
1337,0.66133738
1338,0.71754271
1339,0.69239688
1340,0.65048695
1341,0.77056968
1342,0.94753265
1343,0.6306982
1344,0.81711525
1345,0.64491326
1346,0.58558351
1347,0.75689685
1348,0.61704433
1349,0.76170248
1350,0.58059919
1351,0.33175454
1352,0.60499603
1353,0.65424615
1354,0.49072513
1355,0.64324462
1356,0.82081378
1357,0.7434817
1358,0.8673858
1359,0.54725575
1360,0.34486875
1361,0.80985433
1362,0.656896
1363,0.45539609
1364,0.79577816
1365,0.83806032
1366,0.70239943
1367,0.47674394
1368,0.75449145
1369,0.78670621
1370,0.42463917
1371,0.63504809
1372,0.75521225
1373,0.4134157
1374,0.70387655
1375,0.48695213
1376,0.84825468
1377,0.25892237
1378,0.81327373
1379,0.97249418
1380,0.23702322
1381,0.4718416
1382,0.3090592
1383,0.73468202
1384,0.53702772
1385,0.48286045
1386,0.85190767
1387,0.611525
1388,0.8743
1389,0.87599862
1390,0.72561818
1391,0.71454489
1392,0.8873865
1393,0.82100344
1394,0.26177058
1395,0.65048188
1396,0.75661665
1397,0.53537881
1398,0.66804403
1399,0.47611114
1400,0.28265902
1401,0.46651074
1402,0.80585921
1403,0.35324463
1404,0.68422908
1405,0.41999504
1406,0.8331632
1407,0.51514125
1408,0.70233732
1409,0.84336209
1410,0.39093956
1411,0.66376585
1412,0.6012851
1413,0.66857833
1414,0.54174888
1415,0.58025515
1416,0.73547322
1417,0.31284738
1418,0.11068342
1419,0.11586266
1420,-0.12058584
1421,0.69973654
1422,0.58846259
1423,0.57771748
1424,0.5913676
1425,0.65804702
1426,0.35862148
1427,0.867773
1428,0.80012017
1429,0.23188969
1430,0.7427519
1431,0.43685088
1432,0.36486104
1433,0.37330756
1434,0.97079694
1435,0.71813548
1436,0.42327306
1437,0.7281124
1438,0.86215127
1439,0.53666449
1440,0.56627804
1441,0.91307974
1442,0.34731227
1443,0.72340733
1444,0.47100073
1445,0.69100702
1446,0.4757987
1447,0.39966574
1448,0.79854101
1449,0.3711147
1450,0.64830256
1451,0.57197458
1452,0.61651587
1453,0.68473172
1454,0.80277711
1455,0.82434016
1456,0.45833838
1457,0.78273261
1458,0.75529885
1459,0.49444735
1460,0.32633877
1461,0.90759587
1462,0.78382343
1463,0.45558053
1464,0.39350238
1465,0.62208462
1466,0.54927009
1467,0.35426304
1468,0.77915257
1469,0.67883664
1470,0.60217083
1471,0.25201181
1472,0.39619148
1473,0.90906519
1474,0.39652008
1475,0.67502177
1476,0.61624897
1477,0.46266139
1478,-0.50495178
1479,0.33620343
1480,0.61680698
1481,0.46285954
1482,-0.76921952
1483,0.84090257
1484,0.35486352
1485,0.32682085
1486,0.88509399
1487,0.24928986
1488,-0.30222678
1489,0.69572842
1490,0.76031119
1491,0.40787587
1492,0.89478022
1493,0.88812536
1494,0.84394121
1495,0.23007919
1496,0.40600941
1497,0.78530794
1498,0.86377317
1499,0.21373217
1500,0.32427713
1501,0.67636704
1502,0.929474
1503,0.25597316
1504,0.60060269
1505,0.52279091
1506,0.6879648
1507,0.54852903
1508,0.87906194
1509,0.80522978
1510,0.39263275
1511,0.5446282
1512,0.57177162
1513,0.57900691
1514,0.34786731
1515,0.59771299
1516,0.70642394
1517,0.47914931
1518,0.65346491
1519,-0.18119428
1520,0.66511184
1521,0.47523907
1522,0.66869819
1523,0.74089193
1524,0.89855784
1525,0.61984777
1526,0.43689203
1527,0.59966165
1528,0.32843548
1529,0.52096772
1530,0.80048621
1531,0.42325824
1532,0.67616236
1533,0.66109008
1534,0.81220794
1535,0.54254168
1536,0.76871276
1537,0.72710162
1538,0.57278186
1539,0.64913225
1540,0.59563702
1541,0.87898207
1542,0.64271981
1543,0.57013255
1544,0.60359639
1545,0.76121551
1546,0.61346012
1547,1.0133966
1548,0.73446643
1549,0.54004723
1550,0.66611898
1551,0.87198609
1552,0.73074722
1553,0.33486804
1554,0.62628311
1555,0.65650553
1556,0.67268109
1557,0.43921602
1558,0.91751528
1559,0.77615488
1560,0.30060822
1561,0.1244282
1562,0.4718577
1563,0.069283001
1564,0.2590996
1565,0.59028208
1566,0.7396462
1567,0.59269989
1568,0.45554781
1569,0.43612972
1570,0.57795322
1571,0.9405573
1572,0.79858708
1573,0.85099018
1574,0.47648299
1575,0.36345246
1576,0.69684595
1577,0.98910069
1578,0.23547664
1579,0.70610893
1580,1.084878
1581,0.74868792
1582,0.49485478
1583,0.088636875
1584,0.44177851
1585,0.29570255
1586,0.77386719
1587,0.68462795
1588,0.5098691
1589,0.31833935
1590,0.61139399
1591,0.81779659
1592,0.34195575
1593,0.71365023
1594,0.69485784
1595,0.5548901
1596,0.72523153
1597,0.46326432
1598,0.41262257
1599,0.79199106
1600,0.76797324
1601,0.11756416
1602,0.4630864
1603,0.91704214
1604,0.77289999
1605,0.56558466
1606,0.60956275
1607,0.80048501
1608,0.44405666
1609,0.70617056
1610,0.76898986
1611,0.82434708
1612,0.54923296
1613,0.32105061
1614,0.45449531
1615,0.44676787
1616,0.6022619
1617,0.64892352
1618,-0.006235736
1619,0.36354247
1620,0.65952873
1621,0.38424385
1622,0.5492847
1623,0.60375071
1624,0.11090501
1625,0.64966768
1626,0.75391501
1627,0.38805199
1628,0.74456233
1629,0.68372411
1630,0.6325348
1631,0.65646255
1632,0.73091781
1633,0.7531088
1634,0.54704821
1635,0.74846327
1636,0.56042683
1637,0.26412803
1638,0.63829148
1639,0.69671047
1640,0.62944365
1641,0.70213312
1642,0.72805762
1643,0.65881866
1644,0.60372615
